nodes,flows,pps,pkt_size,tx_range,coverage_mult,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
40,30,400,1024,3,1,40,4.6948,10.0221,98.5034,0.780267,1373.15
40,30,400,1024,4,1,40,5.02469,13.7932,98.3934,1.18923,1379.26
40,30,400,1024,5,1,40,4.93041,11.4259,98.5992,0.991067,1375.57
40,30,500,1024,2,1,40,5.55287,18.0309,98.0955,1.26477,1383.49
100,10,100,1024,2,1,40,0.352418,19.9809,96.2809,2.2021,3376.65
40,30,500,1024,3,1,40,6.74188,42.7291,97.08,2.29123,1392.15
100,10,100,1024,3,1,40,0.325474,21.2281,95.7269,3.15268,3380.02
40,30,500,1024,4,1,40,5.86629,24.0066,97.8665,1.42493,1389.72
100,10,100,1024,4,1,40,0.304551,19.5774,96.0676,3.21241,3379.56
60,10,100,1024,2,1,40,0.565186,1.52933,99.6752,0.259825,2003.1
60,10,100,1024,3,1,40,0.565186,1.47002,99.6752,0.259825,2003.08
60,10,100,1024,4,1,40,0.565734,1.8737,99.6437,0.275348,2003.12
100,10,200,1024,2,1,40,0.755702,18.4397,98.0955,1.50123,3388.47
60,10,100,1024,5,1,40,0.565186,1.45601,99.6752,0.259825,2003.44
60,10,200,1024,2,1,40,1.13225,1.7491,99.8211,0.146413,2009.86
60,10,200,1024,3,1,40,1.13286,2.28549,99.7645,0.203037,2009.96
60,10,200,1024,4,1,40,1.13201,1.95791,99.4816,0.453588,2010.18
100,10,200,1024,3,1,40,0.662479,21.3948,97.9848,1.38707,3386.19
60,10,200,1024,5,1,40,1.13306,1.50012,99.6672,0.300325,2010.16
60,10,300,1024,2,1,40,1.70163,3.89841,98.872,0.671429,2017.97
40,30,500,1024,5,1,40,5.71334,21.8,97.7526,1.66551,1385.86
40,40,100,1024,2,1,40,1.10561,2.14052,99.5033,0.430464,1331.77
60,10,300,1024,3,1,40,1.87323,4.05295,99.548,0.348792,2020.49
40,40,100,1024,3,1,40,1.20112,2.18224,99.588,0.366189,1332.26
40,40,100,1024,4,1,40,1.1949,1.70653,99.5633,0.383054,1332.24
100,10,200,1024,4,1,40,0.631638,19.4499,97.8584,1.36281,3386.53
40,40,100,1024,5,1,40,1.1949,1.70629,99.5633,0.383054,1332.24
60,10,300,1024,4,1,40,1.69902,1.71962,99.8047,0.173639,2016.09
40,40,200,1024,2,1,40,2.21381,1.67004,99.6637,0.303068,1342.75
