nodes,flows,pps,pkt_size,speed_ms,wpan_area,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
40,50,500,1024,25,200,40,0.0977873,283.303,77.1803,18.9508,4.95283
60,10,100,1024,5,200,40,0.118966,471.198,83.0235,12.1437,7.25524
60,10,100,1024,10,200,40,0.0968894,182.823,81.5083,14.6483,7.17621
60,10,100,1024,15,200,40,0.115665,253.351,85.771,11.7803,7.24322
60,10,100,1024,20,200,40,0.105443,240.117,82.8632,14.9506,7.20955
60,10,100,1024,25,200,40,0.0810466,400.733,81.0592,15.7989,7.10211
60,10,200,1024,5,200,40,0.110856,446.675,81.3673,15.3485,7.23223
60,10,200,1024,10,200,40,0.0931906,241.962,80.03,17.1922,7.16641
60,10,200,1024,15,200,40,0.0995944,244.883,85.3323,12.6814,7.17289
60,10,200,1024,20,200,40,0.104508,243.389,84.258,12.1359,7.19991
60,10,200,1024,25,200,40,0.0777911,238.259,81.2849,15.7356,7.08779
60,10,300,1024,5,200,40,0.105948,399.265,79.4584,17.1731,7.22295
60,10,300,1024,10,200,40,0.0836715,257.337,77.8321,18.9079,7.1283
60,10,300,1024,15,200,40,0.102917,214.198,84.5475,13.3186,7.18962
60,10,300,1024,20,200,40,0.088208,242.114,78.9799,18.0062,7.14659
60,10,300,1024,25,200,40,0.0691388,265.803,78.608,17.4002,7.05766
60,10,400,1024,5,200,40,0.10381,446.697,78.8164,17.2831,7.21449
60,10,400,1024,10,200,40,0.10164,258.133,82.0329,15.748,7.19345
60,10,400,1024,15,200,40,0.103109,224.885,84.8129,13.0594,7.18993
60,10,400,1024,20,200,40,0.0847002,253.339,81.8335,16.4003,7.12126
60,10,400,1024,25,200,40,0.0715755,212.678,78.5371,18.3831,7.06965
60,10,500,1024,5,200,40,0.115232,404.812,83.3876,14.9186,7.24612
60,10,500,1024,10,200,40,0.0875087,300.446,81.1321,15.1764,7.13453
60,10,500,1024,15,200,40,0.0898306,204.171,82.5733,14.0065,7.13909
60,10,500,1024,20,200,40,0.106804,179.01,81.3121,15.0431,7.22627
60,10,500,1024,25,200,40,0.0741769,275.386,78.9272,17.0498,7.07576
60,20,100,1024,5,200,40,0.102153,296.957,80.4076,15.4504,7.20352
60,20,100,1024,10,200,40,0.0957562,296.995,77.7322,17.2814,7.1872
60,20,100,1024,15,200,40,0.0760772,308.858,74.6835,23.4968,7.10497
60,20,100,1024,20,200,40,0.0954814,267.519,78.9619,16.8166,7.17832
60,20,100,1024,25,200,40,0.0824649,309.053,76.5298,19.2874,7.12907
60,20,200,1024,5,200,40,0.0942231,260.706,78.0605,17.2627,7.17748
60,20,200,1024,10,200,40,0.103786,290.6,81.7113,16.4598,7.20641
60,20,200,1024,15,200,40,0.082464,363.68,73.964,22.5958,7.13582
60,20,200,1024,20,200,40,0.0906212,257.148,78.3012,17.9872,7.16245
60,20,200,1024,25,200,40,0.0948546,293.199,77.9006,17.3343,7.17987
60,20,300,1024,5,200,40,0.0831134,404.298,75.9119,19.6809,7.13079
60,20,300,1024,10,200,40,0.0995379,310.435,82.1201,15.477,7.18346
60,20,300,1024,15,200,40,0.0882494,308.84,73.6179,20.7138,7.16835
60,20,300,1024,20,200,40,0.0824442,328.815,75.2164,20.535,7.12911
60,20,300,1024,25,200,40,0.0930325,278.62,77.1291,19.0934,7.17495
60,20,400,1024,5,200,40,0.107152,305.748,82.2017,14.5023,7.21497
60,20,400,1024,10,200,40,0.0910353,295.668,77.5983,19.7331,7.16587
60,20,400,1024,15,200,40,0.0754861,337.806,72.5459,24.0223,7.11043
60,20,400,1024,20,200,40,0.0999529,276.643,81.9763,14.405,7.18486
60,20,400,1024,25,200,40,0.0780602,289.694,73.3802,22.1702,7.12171
60,20,500,1024,5,200,40,0.103747,334.122,80.6368,17.089,7.20722
60,20,500,1024,10,200,40,0.0975689,295.111,78.2842,18.6997,7.19164
60,20,500,1024,15,200,40,0.09232,339.357,75.3156,20.4067,7.17992
60,20,500,1024,20,200,40,0.0962984,272.591,78.719,17.011,7.18433
60,20,500,1024,25,200,40,0.0705365,297.877,72.8114,24.2424,7.08687
60,30,100,1024,5,200,40,0.0945694,398.906,74.8715,20.9512,7.19119
60,30,100,1024,10,200,40,0.086048,367.168,69.5282,25.2949,7.17745
60,30,100,1024,15,200,40,0.0773581,437.759,71.6429,22.7307,7.12222
60,30,100,1024,20,200,40,0.0897911,390.155,76.8016,18.5312,7.1585
60,30,100,1024,25,200,40,0.0993384,410.462,75.1402,20.3738,7.21173
60,30,200,1024,5,200,40,0.107211,341.113,78.5542,17.2289,7.2355
60,30,200,1024,10,200,40,0.0966089,352.159,74.1775,20.8566,7.20649
60,30,200,1024,15,200,40,0.0946052,560.477,75.9494,19.2538,7.18406
60,30,200,1024,20,200,40,0.0860028,386.351,73.283,21.9093,7.1585
60,30,200,1024,25,200,40,0.0834146,423.45,75.4373,20.3802,7.12906
60,30,300,1024,5,200,40,0.115141,355.041,76.3718,18.981,7.28592
60,30,300,1024,10,200,40,0.0850278,348.828,71.9537,22.4643,7.16355
60,30,300,1024,15,200,40,0.0935341,418.255,74.1026,21.7949,7.19245
60,30,300,1024,20,200,40,0.0850419,472.108,73.1322,22.2701,7.14569
60,30,300,1024,25,200,40,0.0861845,440.507,74.7664,20.3451,7.14989
60,30,400,1024,5,200,40,0.0985336,368.023,75.4109,18.1416,7.20914
60,30,400,1024,10,200,40,0.0946146,335.692,75.3614,19.9737,7.19259
60,30,400,1024,15,200,40,0.106133,507.327,76.0805,19.1829,7.23871
60,30,400,1024,20,200,40,0.0980433,370.238,74.4575,19.5908,7.21224
60,30,400,1024,25,200,40,0.102226,396.028,75.4397,20.2889,7.21982
60,30,500,1024,5,200,40,0.10426,371.118,79.3146,16.7601,7.21602
60,30,500,1024,10,200,40,0.0855106,348.289,74.386,20.7018,7.15398
60,30,500,1024,15,200,40,0.103471,444.5,78.3492,17.9048,7.21166
60,30,500,1024,20,200,40,0.0840104,380.004,71.312,22.5697,7.15883
60,30,500,1024,25,200,40,0.0814409,368.837,73.7418,21.663,7.1336
60,40,100,1024,5,200,40,0.0945694,398.906,74.8715,20.9512,7.19119
60,40,100,1024,10,200,40,0.086048,367.168,69.5282,25.2949,7.17745
60,40,100,1024,15,200,40,0.0773581,437.759,71.6429,22.7307,7.12222
60,40,100,1024,20,200,40,0.0897911,390.155,76.8016,18.5312,7.1585
60,40,100,1024,25,200,40,0.0993384,410.462,75.1402,20.3738,7.21173
60,40,200,1024,5,200,40,0.107211,341.113,78.5542,17.2289,7.2355
60,40,200,1024,10,200,40,0.0966089,352.159,74.1775,20.8566,7.20649
60,40,200,1024,15,200,40,0.0946052,560.477,75.9494,19.2538,7.18406
60,40,200,1024,20,200,40,0.0860028,386.351,73.283,21.9093,7.1585
60,40,200,1024,25,200,40,0.0834146,423.45,75.4373,20.3802,7.12906
60,40,300,1024,5,200,40,0.115141,355.041,76.3718,18.981,7.28592
60,40,300,1024,10,200,40,0.0850278,348.828,71.9537,22.4643,7.16355
60,40,300,1024,15,200,40,0.0935341,418.255,74.1026,21.7949,7.19245
60,40,300,1024,20,200,40,0.0850419,472.108,73.1322,22.2701,7.14569
60,40,300,1024,25,200,40,0.0861845,440.507,74.7664,20.3451,7.14989
60,40,400,1024,5,200,40,0.0985336,368.023,75.4109,18.1416,7.20914
60,40,400,1024,10,200,40,0.0946146,335.692,75.3614,19.9737,7.19259
60,40,400,1024,15,200,40,0.106133,507.327,76.0805,19.1829,7.23871
